93;고창 한국지역도서전 2019;37;전라북도 고창군 해리면 월봉성산길 88;;;http://tong.visitkorea.or.kr/cms/resource/23/2593223_image2_1.jpg;Y;190509;190512;0;0;0;fe
94;고창 해풍고추축제 2020;37;전라북도 고창군 해리면 청해1길 15;;;http://tong.visitkorea.or.kr/cms/resource/38/2557238_image2_1.jpg;Y;200822;200823;0;0;0;fe
95;고창가을꽃잔치 2019;37;전라북도 고창군 공음면 학원농장길 158-6;;;http://tong.visitkorea.or.kr/cms/resource/02/485402_image2_1.jpg;Y;190720;191027;0;0;0;fe
96;고한 함백산 야생화축제 2019;32;강원도 정선군 고한읍 고한6길 15-2;;;http://tong.visitkorea.or.kr/cms/resource/17/2612817_image2_1.jpg;Y;190727;190804;0;0;0;fe
97;곡성심청축제 2019;38;전라남도 곡성군 오곡면 기차마을로 232;;;http://tong.visitkorea.or.kr/cms/resource/23/2618423_image2_1.JPG;Y;191003;191006;0;0;0;fe
98;곰소젓갈발효축제 2019;37;전라북도 부안군 진서면 곰소8길 16;;;http://tong.visitkorea.or.kr/cms/resource/10/2618610_image2_1.jpg;Y;191003;191005;0;0;0;fe
99;공재문화제 2019;38;전라남도 해남군 현산면 백포길 122;(현산면);;http://tong.visitkorea.or.kr/cms/resource/34/1941334_image2_1.jpg;Y;190921;190921;0;0;0;fe
100;공주 문화재야행 2019;34;충청남도 공주시 우체국길 8;(반죽동);;http://tong.visitkorea.or.kr/cms/resource/40/2616740_image2_1.jpg;Y;190830;190831;0;0;0;fe
101;과천 국립현대미술관 '균열 Ⅱ: 세상을 보는 눈/ 영원을 향한 시선' 2019;31;경기도 과천시 광명로 313;(막계동);;http://tong.visitkorea.or.kr/cms/resource/19/890519_image2_1.jpg;Y;180918;190922;0;0;0;fe
102;과천 국립현대미술관 '소장품전: 근대를 수놓은 그림' 2019;31;경기도 과천시 광명로 313;(막계동);;http://tong.visitkorea.or.kr/cms/resource/40/890540_image2_1.jpg;Y;180711;190623;0;0;0;fe
103;과천축제 2020;31;경기도 과천시 관문로 64;;;http://tong.visitkorea.or.kr/cms/resource/46/2618446_image2_1.jpg;Y;200924;200927;0;0;0;fe
104;관광산업 일자리박람회 2019;1;서울특별시 강남구 영동대로 513;;;http://tong.visitkorea.or.kr/cms/resource/17/2630817_image2_1.png;Y;191029;191030;0;0;0;fe
105;관악 강감찬축제 2019;1;서울특별시 관악구 낙성대로 77 낙성대공원;(봉천동);;http://tong.visitkorea.or.kr/cms/resource/71/2612271_image2_1.jpg;Y;191017;191019;0;0;0;fe
106;광나루어울마당 2019;1;서울특별시 광진구 광장동 401-14 광진숲나루;;;http://tong.visitkorea.or.kr/cms/resource/41/934741_image2_1.jpg;Y;191005;191005;0;0;0;fe
107;광명가족극장 <도란도란 예술피크닉> 2019;31;경기도 광명시 시청로 20;;;http://tong.visitkorea.or.kr/cms/resource/80/2613980_image2_1.JPG;Y;190816;190818;0;0;0;fe
108;광명동굴 대한민국 와인 페스티벌 2019;31;경기도 광명시 가학로85번길 142;(가학동);;http://tong.visitkorea.or.kr/cms/resource/53/2636853_image2_1.png;Y;191213;191215;0;0;0;fe
109;광복 74주년 기념 음악회 2019;1;서울특별시 종로구 세종대로 175 세종문화회관;(세종로);;http://tong.visitkorea.or.kr/cms/resource/80/2613780_image2_1.png;Y;190815;190815;0;0;0;fe
110;광안리 새해맞이 2020;6;부산광역시 수영구 광안해변로 219;(광안동);;http://tong.visitkorea.or.kr/cms/resource/94/2350894_image2_1.png;Y;200101;200101;0;0;0;fe
111;광양전어축제 2019;38;전남 광양시 진월면 망덕포구 무접섬광장;;;http://tong.visitkorea.or.kr/cms/resource/90/2503690_image2_1.jpg;Y;190830;190901;0;0;0;fe
112;광주 맥주축제 ‘비어고을 광주’ 2019;5;광주광역시 광산구 송정로8번길 13;;;http://tong.visitkorea.or.kr/cms/resource/67/2605267_image2_1.jpg;Y;190705;190706;0;0;0;fe
113;광주 프린지페스티벌 2020;5;광주광역시 동구 금남로 245;;;http://tong.visitkorea.or.kr/cms/resource/75/2487975_image2_1.jpg;Y;200801;201031;0;0;0;fe
114;광주 ACE Fair 2019;5;광주광역시 서구 상무누리로 30;(치평동);;http://tong.visitkorea.or.kr/cms/resource/02/2614202_image2_1.jpg;Y;190926;190929;0;0;0;fe
115;광주 FINA 세계수영선수권대회 2019;5;광주광역시 동구 금남로 245;;;http://tong.visitkorea.or.kr/cms/resource/36/2610836_image2_1.jpg;Y;190712;190728;0;0;0;fe
116;광주국제식품전 2020;5;광주광역시 서구 상무누리로 30;;;http://tong.visitkorea.or.kr/cms/resource/39/2555939_image2_1.JPG;Y;201112;201115;0;0;0;fe
117;광주국제차문화전시회 2020;5;광주광역시 서구 상무누리로 30;;;http://tong.visitkorea.or.kr/cms/resource/08/2658508_image2_1.jpg;Y;200924;200927;0;0;0;fe
118;광주문화재야행 '동구 달빛걸음' 2020;5;광주광역시 동구 서남로 1;(서석동);;http://tong.visitkorea.or.kr/cms/resource/87/2608887_image2_1.JPG;Y;200703;200704;0;0;0;fe
119;광주비엔날레 2020;5;광주광역시 북구 비엔날레로 111;;;http://tong.visitkorea.or.kr/cms/resource/48/2561748_image2_1.JPG;Y;200904;201129;0;0;0;fe
120;광주세계김치축제 2019;5;광주광역시 남구 김치로 60 광주김치타운;;;http://tong.visitkorea.or.kr/cms/resource/22/2622222_image2_1.jpg;Y;191025;191027;0;0;0;fe
121;광주예술난장 굿판 2019;5;광주광역시 남구 포충로 937;;;http://tong.visitkorea.or.kr/cms/resource/75/2615275_image2_1.JPG;Y;190831;190901;0;0;0;fe
122;광진교 페스티벌 2019;1;서울특별시 강동구 광진교;;;http://tong.visitkorea.or.kr/cms/resource/20/2547020_image2_1.jpg;Y;190831;190831;0;0;0;fe
123;괴산 유기농페스티벌 2019;33;충청북도 괴산군 괴산읍 임꺽정로 90 괴산군청 앞 유기농엑스포광장;;;http://tong.visitkorea.or.kr/cms/resource/27/2619027_image2_1.jpg;Y;190920;190921;0;0;0;fe
124;괴산고추축제 2019;33;충청북도 괴산군 괴산읍 임꺽정로 90;;;http://tong.visitkorea.or.kr/cms/resource/90/2542190_image2_1.jpg;Y;190829;190901;0;0;0;fe
125;교산허균 문화제 2019;32;강원도 강릉시 난설헌로193번길 1-16;;;http://tong.visitkorea.or.kr/cms/resource/58/529658_image2_1.jpg;Y;190921;190922;0;0;0;fe
126;구례동편소리축제 · 송만갑판소리고수대회 2019;38;전라남도 구례군 구례읍 서시천로 76-11;;;http://tong.visitkorea.or.kr/cms/resource/08/2621408_image2_1.jpg;Y;191003;191006;0;0;0;fe
127;구로거리공원 벚꽃축제 2019;1;서울특별시 구로구 공원로 71;(구로동);;http://tong.visitkorea.or.kr/cms/resource/03/2592103_image2_1.JPG;Y;190406;190406;0;0;0;fe
128;구로청소년축제 2019;1;서울특별시 구로구 가마산로 245;;;http://tong.visitkorea.or.kr/cms/resource/68/2618968_image2_1.jpg;Y;191012;191012;0;0;0;fe
